nome base	dnom	numr	subs	sups
a	a.dnom	a.numr	uni2090	a.sups
b	b.dnom	b.numr	b.subs	b.sups
c	c.dnom	c.numr	c.subs	c.sups
d	d.dnom	d.numr	d.subs	d.sups
e	e.dnom	e.numr	uni2091	e.sups
f	f.dnom	f.numr	f.subs	f.sups
g	g.dnom	g.numr	g.subs	g.sups
h	h.dnom	h.numr	uni2095	h.sups
i	i.dnom	i.numr	i.subs	uni2071
j	j.dnom	j.numr	j.subs	j.sups
k	k.dnom	k.numr	uni2096	k.sups
l	l.dnom	l.numr	uni2097	l.sups
m	m.dnom	m.numr	uni2098	m.sups
n	n.dnom	n.numr	uni2099	uni207F
o	o.dnom	o.numr	uni2092	o.sups
p	p.dnom	p.numr	uni209A	p.sups
q	q.dnom	q.numr	q.subs	q.sups
r	r.dnom	r.numr	r.subs	r.sups
s	s.dnom	s.numr	uni209B	s.sups
t	t.dnom	t.numr	uni209C	t.sups
u	u.dnom	u.numr	u.subs	u.sups
v	v.dnom	v.numr	v.subs	v.sups
w	w.dnom	w.numr	w.subs	w.sups
x	x.dnom	x.numr	uni2093	x.sups
y	y.dnom	y.numr	y.subs	y.sups
z	z.dnom	z.numr	z.subs	z.sups
zero	zero.dnom	zero.numr	uni2080	uni2070
one	one.dnom	one.numr	uni2081	onesuperior
two	two.dnom	two.numr	uni2082	twosuperior
three	three.dnom	three.numr	uni2083	threesuperior
four	four.dnom	four.numr	uni2084	uni2074
five	five.dnom	five.numr	uni2085	uni2075
six	six.dnom	six.numr	uni2086	uni2076
seven	seven.dnom	seven.numr	uni2087	uni2077
eight	eight.dnom	eight.numr	uni2088	uni2078
nine	nine.dnom	nine.numr	uni2089	uni2079
hyphen	hyphen.dnom	hyphen.numr	hyphen.subs	hyphen.sups
period	period.dnom	period.numr	period.subs	period.sups
comma	comma.dnom	comma.numr	comma.subs	comma.sups
dollar	dollar.dnom	dollar.numr	dollar.subs	dollar.sups
cent	cent.dnom	cent.numr	cent.subs	cent.sups
Euro	Euro.dnom	Euro.numr	Euro.subs	Euro.sups
parenleft	parenleft.dnom	parenleft.numr	uni208D	uni207D
parenright	parenright.dnom	parenright.numr	uni208E	uni207E
plus	plus.dnom	plus.numr	uni208A	uni207A
minus	minus.dnom	minus.numr	uni208B	uni207B
equal	equal.dnom	equal.numr	uni208C	uni207C
