space	0020	SPACE
uni200B	200B	ZERO WIDTH SPACE
uni00A0	00A0	NO-BREAK SPACE
uniFEFF	FEFF	ZERO WIDTH NO-BREAK SPACE
at	0040	COMMERCIAL AT
A	0041	LATIN CAPITAL LETTER A
B	0042	LATIN CAPITAL LETTER B
C	0043	LATIN CAPITAL LETTER C
D	0044	LATIN CAPITAL LETTER D
E	0045	LATIN CAPITAL LETTER E
F	0046	LATIN CAPITAL LETTER F
G	0047	LATIN CAPITAL LETTER G
H	0048	LATIN CAPITAL LETTER H
I	0049	LATIN CAPITAL LETTER I
J	004A	LATIN CAPITAL LETTER J
K	004B	LATIN CAPITAL LETTER K
L	004C	LATIN CAPITAL LETTER L
M	004D	LATIN CAPITAL LETTER M
N	004E	LATIN CAPITAL LETTER N
O	004F	LATIN CAPITAL LETTER O
P	0050	LATIN CAPITAL LETTER P
Q	0051	LATIN CAPITAL LETTER Q
R	0052	LATIN CAPITAL LETTER R
S	0053	LATIN CAPITAL LETTER S
T	0054	LATIN CAPITAL LETTER T
U	0055	LATIN CAPITAL LETTER U
V	0056	LATIN CAPITAL LETTER V
W	0057	LATIN CAPITAL LETTER W
X	0058	LATIN CAPITAL LETTER X
Y	0059	LATIN CAPITAL LETTER Y
Z	005A	LATIN CAPITAL LETTER Z
ampersand	0026	AMPERSAND
AE	00C6	LATIN CAPITAL LETTER AE
OE	0152	LATIN CAPITAL LIGATURE OE
a	0061	LATIN SMALL LETTER A
b	0062	LATIN SMALL LETTER B
c	0063	LATIN SMALL LETTER C
d	0064	LATIN SMALL LETTER D
e	0065	LATIN SMALL LETTER E
f	0066	LATIN SMALL LETTER F
g	0067	LATIN SMALL LETTER G
h	0068	LATIN SMALL LETTER H
i	0069	LATIN SMALL LETTER I
j	006A	LATIN SMALL LETTER J
k	006B	LATIN SMALL LETTER K
l	006C	LATIN SMALL LETTER L
m	006D	LATIN SMALL LETTER M
n	006E	LATIN SMALL LETTER N
o	006F	LATIN SMALL LETTER O
p	0070	LATIN SMALL LETTER P
q	0071	LATIN SMALL LETTER Q
r	0072	LATIN SMALL LETTER R
s	0073	LATIN SMALL LETTER S
t	0074	LATIN SMALL LETTER T
u	0075	LATIN SMALL LETTER U
v	0076	LATIN SMALL LETTER V
w	0077	LATIN SMALL LETTER W
x	0078	LATIN SMALL LETTER X
y	0079	LATIN SMALL LETTER Y
z	007A	LATIN SMALL LETTER Z
germandbls	00DF	LATIN SMALL LETTER SHARP S
ae	00E6	LATIN SMALL LETTER AE
oe	0153	LATIN SMALL LIGATURE OE
f_f	FB00	LATIN SMALL LIGATURE FF
f_i	FB01	LATIN SMALL LIGATURE FI
f_l	FB02	LATIN SMALL LIGATURE FL
uni2008	2008	PUNCTUATION SPACE
uni00AD	00AD	SOFT HYPHEN
comma	002C	COMMA
period	002E	FULL STOP
colon	003A	COLON
semicolon	003B	SEMICOLON
ellipsis	2026	HORIZONTAL ELLIPSIS
underscore	005F	LOW LINE
hyphen	002D	HYPHEN-MINUS
endash	2013	EN DASH
emdash	2014	EM DASH
bullet	2022	BULLET
periodcentered	00B7	MIDDLE DOT
guilsinglleft	2039	SINGLE LEFT-POINTING ANGLE QUOTATION MARK
guilsinglright	203A	SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
guillemotleft	00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
guillemotright	00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
exclam	0021	EXCLAMATION MARK
question	003F	QUESTION MARK
exclamdown	00A1	INVERTED EXCLAMATION MARK
questiondown	00BF	INVERTED QUESTION MARK
bar	007C	VERTICAL LINE
brokenbar	00A6	BROKEN BAR
dagger	2020	DAGGER
daggerdbl	2021	DOUBLE DAGGER
parenleft	0028	LEFT PARENTHESIS
parenright	0029	RIGHT PARENTHESIS
bracketleft	005B	LEFT SQUARE BRACKET
bracketright	005D	RIGHT SQUARE BRACKET
braceleft	007B	LEFT CURLY BRACKET
braceright	007D	RIGHT CURLY BRACKET
slash	002F	SOLIDUS
backslash	005C	REVERSE SOLIDUS
quotesinglbase	201A	SINGLE LOW-9 QUOTATION MARK
quotedblbase	201E	DOUBLE LOW-9 QUOTATION MARK
quoteleft	2018	LEFT SINGLE QUOTATION MARK
quotedblleft	201C	LEFT DOUBLE QUOTATION MARK
quoteright	2019	RIGHT SINGLE QUOTATION MARK
quotedblright	201D	RIGHT DOUBLE QUOTATION MARK
quotesingle	0027	APOSTROPHE
quotedbl	0022	QUOTATION MARK
asterisk	002A	ASTERISK
degree	00B0	DEGREE SIGN
paragraph	00B6	PILCROW SIGN
section	00A7	SECTION SIGN
uni00AD.case
hyphen.case
endash.case
emdash.case
bullet.case
exclamdown.case
